epoch,accuracy,loss,val_accuracy,val_loss
0,0.3392857015132904,1.1737067699432373,0.3333333432674408,1.0952212810516357
1,0.36547619104385376,1.099880576133728,0.39247313141822815,1.0859376192092896
2,0.42420634627342224,1.0715028047561646,0.7177419066429138,0.8438190817832947
3,0.4928571283817291,0.9920390844345093,0.6747311949729919,0.6516762375831604
4,0.5694444179534912,0.9019181728363037,0.9327957034111023,0.40978363156318665
5,0.6218253970146179,0.8212077021598816,0.9623655676841736,0.41331982612609863
6,0.7202380895614624,0.6557848453521729,0.8172042965888977,0.546580970287323
7,0.711904764175415,0.6747358441352844,0.8844085931777954,0.3377135097980499
8,0.7857142686843872,0.5051376819610596,0.9543010592460632,0.20405027270317078
9,0.8424603343009949,0.3837149143218994,0.9892473220825195,0.11449070274829865
10,0.8265873193740845,0.4638412594795227,0.9784946441650391,0.06965181231498718
11,0.8571428656578064,0.3391224145889282,0.8548387289047241,0.28182926774024963
12,0.8873015642166138,0.29390400648117065,0.9677419066429138,0.08850596845149994
13,0.9134920835494995,0.23926934599876404,0.9892473220825195,0.06077656149864197
14,0.9158729910850525,0.2188919484615326,0.8333333134651184,0.34690529108047485
15,0.8980158567428589,0.33936870098114014,0.975806474685669,0.07198881357908249
16,0.9357143044471741,0.17667922377586365,0.9811828136444092,0.045354243367910385
17,0.9464285969734192,0.14344455301761627,0.9462365508079529,0.19030249118804932
18,0.940079391002655,0.17112360894680023,0.9811828136444092,0.06820018589496613
19,0.9575396776199341,0.12550953030586243,0.9865591526031494,0.04371265694499016
20,0.9484127163887024,0.1298089474439621,0.8870967626571655,0.2320578396320343
21,0.9420635104179382,0.1619708091020584,0.9543010592460632,0.13801677525043488
22,0.970634937286377,0.08931007981300354,0.9865591526031494,0.04255355894565582
23,0.9527778029441833,0.12896616756916046,0.9059139490127563,0.15894070267677307
24,0.9682539701461792,0.09092332422733307,0.8870967626571655,0.2532518804073334
